"","file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id"
"1","M_F2_113x119_1",50.5149743589743,3.10234578892523,1908.11076923077,982.274865442953,171.121015384615,66.6487414481464,67.9104,23.5884368819712,34.2492923076923,8.91328158339785,2.02382051282051,0.645378993990307,-0.07,1.43,6.88888888888889,39,1583.79,155,22.49,3881.44,563.43,1232.49,0.6,212.86,482.69,2048.71,5.44,"M_F2_113x119_1-14"
"2","M_F2_113x119_1",70.7260535714286,19.5227979390345,3024.30857142857,1575.76209805447,222.3018,75.8797029656275,87.5210142857143,27.3514970258092,41.0639785714286,12.7706560267963,2.18207142857143,0.530613017657998,0.06,0.68,25.3333333333333,168,8313.18,6312,249.14,43889.06,1732.46,1833.12,6.9,251.18,649.25,2742.78,31.04,"M_F2_113x119_1-2"
"3","M_F2_113x119_1",93.2341698113207,12.3246875693523,3006.23094339623,1156.18097637515,224.56358490566,62.7630910833607,86.4698943396227,24.8861640906256,43.1696377358491,8.75661628405864,2.03137735849057,0.570233563025345,-0.09,0.61,8.11111111111111,53,4494.42,4494,554.11,15077.22,1858.84,2635.47,115.97,447.85,331.99,2635.47,930.51,"M_F2_113x119_1-20"
"4","M_F2_113x119_1",80.8127414965986,22.7174008700133,2894.57632653061,1267.40388905398,224.018081632653,60.2571642766111,88.7620408163265,23.3992149019324,39.9330367346939,10.0418662105282,2.2624149659864,0.533257318486761,0.07,0.82,19.4444444444444,147,9681.51,8880,456.67,32911.35,1692.58,2076.81,4.83,195.47,703.26,2761.71,43.47,"M_F2_113x119_1-22"
"5","M_F2_113x119_1",75.2529493670886,21.1580039583276,2729.96658227848,1427.99867827633,207.99535443038,70.7412843223567,82.2166405063292,24.9014073194581,39.6542506329114,11.7607927750882,2.11717721518987,0.491773516290456,0.13,1.02,22,158,4444.13,3924,178.37,34082.07,1549.18,1696.24,9.68,206.91,758.46,2649.3,87.08,"M_F2_113x119_1-28"
"6","M_F2_113x119_1",89.7099305555556,17.2104301918771,3029.4,1238.42687884358,223.4628,61.3946367996332,89.6988,23.484437149954,41.12715,9.75560863294315,2.19633333333333,0.433230186351548,0.05,0.53,9.44444444444444,72,7888.4,7888,835.24,16733.09,1771.74,1397.07,14.2,163.17,380.28,2460.62,63.88,"M_F2_113x119_1-37"
"7","M_F2_113x119_1",77.0723703703704,4.4453894508436,2635.2,586.718743303294,215.1722,31.3432357042966,85.4292,13.3086320546776,39.1966,5.93279902798124,2.22251851851852,0.467719466828775,0.05,0.32,6.22222222222222,54,4513.48,4513,725.38,8680.55,1395.09,293.79,29.14,49.42,421.93,1970.88,141.69,"M_F2_113x119_1-4"
"8","M_F2_113x119_1",66.6639,14.8454865373686,2313.71345454545,982.702568795054,198.679352727273,58.4548390384708,77.5252472727273,22.1540581410083,36.8973163636363,9.09016398424493,2.17629090909091,0.689821428102151,0.02,0.86,17.4444444444444,110,7519.87,7359,421.84,23430.23,1343.13,1152.7,9.51,211.05,697.11,2585.78,80.89,"M_F2_113x119_1-45"
"9","M_F2_113x119_1",59.8601882352941,13.4886551489039,2695.07011764706,1593.81142726252,208.050945882353,75.0001788850653,83.8182917647059,29.6332894019314,37.8133411764706,12.6833280311418,2.32131764705882,0.885625971945761,-0.01,1.14,16,85,5272.78,2009,125.57,23160.31,1447.52,1884.39,13.53,296.28,617.6,2370.91,114.55,"M_F2_113x119_1-49"
"10","M_F2_113x119_1",61.6019122807018,15.7081362918122,2527.2,1184.59702737566,202.9662,62.2550312963404,80.4479684210527,23.1030806980801,38.0658315789474,9.89077221068182,2.15134210526316,0.479391665190307,0.13,0.93,16.7777777777778,114,7757.53,6007,358.02,20283.75,1208.97,832.62,5.4,123.96,741.88,2341.43,48.6,"M_F2_113x119_1-5"
"11","M_F2_113x119_1",92.0892040816326,4.58627579965473,5305.92979591837,1782.0657940305,309.096551020408,68.5913384292441,118.522836734694,26.4607737324025,55.6396163265306,10.0169361633772,2.14383673469388,0.405976452871512,0.03,0.91,11.2222222222222,98,1434.54,302,26.87,5144.55,458.43,463.8,5.92,50.41,301.12,2087.11,53.25,"M_F2_113x119_1-76"
"12","M_F2_113x119_1",69.0463880597015,22.5855276771031,2562.59820895522,1294.07338369845,207.606949253731,72.1391656547373,84.6679701492537,27.340249875324,36.9226208955224,9.21540234154356,2.34186567164179,0.69484338535194,0.15,0.86,8.77777777777778,67,5561.39,5561,633.58,13527.8,1541.14,949.6,9.68,157.77,693.21,2314.5,87.08,"M_F2_113x119_1-77"
"13","M_F2_113x119_2",63.7269252873563,5.25498859165574,2893.20827586207,1567.98628504251,227.74195862069,81.6149945580833,90.5232413793104,31.0453762753609,38.9546689655172,11.1420519334502,2.40448275862069,0.749093083453515,0.01,0.93,25.4444444444444,174,5974.79,2163,84.99,27051.46,1063.16,2172.22,2.78,199.15,696.74,2792.85,25.02,"M_F2_113x119_2-1"
"14","M_F2_113x119_2",86.9728910891089,6.68930156429054,4924.28673267327,1045.29276816125,303.057516831683,48.3716821478788,118.724934653465,21.2491864056036,52.7881544554456,7.47929285234272,2.28936633663366,0.509026771845495,-0.02,0.8,11.5555555555556,101,5561.55,5093,440.73,10999.81,951.91,725.9,7.3,92.13,556,2177.69,65.67,"M_F2_113x119_2-106"
"15","M_F2_113x119_2",106.180441176471,2.13646627186495,3667.29882352941,1371.45141122384,257.147364705882,64.5911335438628,98.7633,23.9897288114303,46.1145705882353,10.838362603066,2.19072058823529,0.544494338761141,0.11,1.13,9.66666666666667,68,1506.88,922,95.38,7431.15,768.74,715.86,1.25,122.75,769.85,2339.55,11.23,"M_F2_113x119_2-107"
"16","M_F2_113x119_2",97.6533880597015,9.59785388567488,3840.41552238806,1927.24261045709,256.572376119403,84.1161522899574,98.4629552238806,30.1754886100949,47.7056955223881,13.5889213320155,2.11853731343284,0.593922587761468,0.29,1.42,11.4444444444444,67,2108.44,1881,164.34,9960.15,870.3,1564.03,5.15,300.42,690.12,2815.26,46.32,"M_F2_113x119_2-13"
"17","M_F2_113x119_2",101.5193125,11.966557510201,2104.38,730.582435699895,199.1412,52.7710275629152,83.13795,22.7774161077487,31.764375,5.79848925087847,2.66302083333333,0.795353781568058,0,0.8,6.11111111111111,48,4904.46,4775,781.31,9749.41,1595.36,466.94,8.05,91.06,506.55,2407.9,24.15,"M_F2_113x119_2-146"
